,topic 1,topic 2,topic 3,topic 4,topic 5,topic 6
72,0.593202928375002,0.089748465298204,0.23095768303609962,0.01227902629998118,0.011396646409604642,0.062415250581108556
73,0.08265784423121503,0.48642267795505617,0.19610698265197465,0.16478962503638347,0.03967678206609978,0.030346088059270894
74,0.20589484651564802,0.17838067565470986,0.2734853455051691,0.025854942599190446,0.1720672427366397,0.14431694698864284
75,0.22495576365381723,0.048742866977556476,0.5032419780591606,0.005120463634403701,0.19205264221128643,0.02588628546377561
76,0.6723736413627158,0.15959406052205025,0.015015491768950825,0.07284187618342412,0.03799724817764502,0.042177681985213974
77,0.14028644126427775,0.040579108274909674,0.2666892082121879,0.3789401057273352,0.1692085570334689,0.0042965794878206676
78,0.15894300739269893,0.01645196151168786,0.0086517979651598,0.05189383042151031,0.15783274994580346,0.6062266527631397
79,0.3354858164589773,0.17743551922290463,0.16462733179894187,0.02477945187144553,0.07500984283212676,0.22266203781560384
80,0.15379166720491574,0.1683677304828897,0.6262988866592913,0.0109280407378917,0.029266565318325024,0.011347109596686496
81,0.3166275555606211,0.10407628133664168,0.18168416177166122,0.24485092664944869,0.04246597443144532,0.110295100250182
82,0.06811966319831433,0.035723639571157054,0.055037608806329845,0.15895320575990385,0.2609284053902842,0.4212374772740107
83,0.03170772941291003,0.06324273444098452,0.2717601225223467,0.009765376753536555,0.6196216697992322,0.0039023670709901204
84,0.5423535793355794,0.09854717390858933,0.2673765890426613,0.03697444306498488,0.02945649991467746,0.025291714733507612
85,0.15506082796484466,0.2282467443305222,0.00412663280640724,0.0024357487975195944,0.5088400172583325,0.10129002884237381
86,0.34944148221168037,0.31459631525138476,0.055895186311958917,0.004178872300172333,0.15930026945218353,0.11658787447262012
87,0.3300937271396659,0.31714547538330023,0.10134435418448653,0.1870423545459825,0.03887312396719816,0.02550096477936665
88,0.021879358164733357,0.3090134946192624,0.04481815137661042,0.12693536591787552,0.3072600455950737,0.19009358432644458
89,0.09961463378684177,0.5483790759441155,0.17186033124241373,0.013795260337478535,0.06844262010842612,0.09790807858072435
90,0.07540752636152846,0.05436111135149901,0.7307754001093725,0.04591694246627971,0.047410619806759764,0.04612839990456056
91,0.25844887676751965,0.10448877990750541,0.03927282508382504,0.02839333964206856,0.1356421843288256,0.43375399427025574
92,0.01699388198517695,0.22435790777677464,0.40556208172033675,0.056128259733508074,0.29135606052999763,0.0056018082542059755
93,0.0404304254685693,0.2038729902327661,0.12323650780916964,0.05949948249333193,0.016982901560526422,0.5559776924356367
94,0.08697643836717785,0.11026690395337797,0.19072247303436288,0.5928884028040555,0.007502904309984681,0.011642877531041096
95,0.008689166259252798,0.013428621921314414,0.7763109825849115,0.10306685041413818,0.042636281704725575,0.05586809711565755
96,0.23698216431379635,0.2840711895047397,0.38951343850210923,0.014727100124187317,0.0478428447580637,0.02686326279710368
97,0.020834650045008982,0.23521997590477456,0.2077282196814549,0.006287117987139641,0.5224894483324909,0.007440588049130947
98,0.1718425108069335,0.15430293779905413,0.316262943231518,0.10556664989142489,0.11284059300727586,0.13918436526379366
99,0.14039809612113163,0.2562236138899975,0.06777056278386503,0.10532257133013274,0.4060839029530928,0.02420125292178027
100,0.18133812176721828,0.013993668534865618,0.20350668226369367,0.0032336850931276584,0.1649867414983183,0.4329411008427765
